archive : C:\dev\SC4UIScale\tools\packages\15x\z_SC4UIScale_SelectiveArt-15x.dat  (19273836 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A84A748  modified 0x6A84A748
index   : 655 entries @ 0x125E540 (13100 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x00000000 0x08000600 0x09923283 0x00000060 6925
0x00000000 0x08000600 0x2A2AED99 0x00001B6D 7929
0x00000000 0x08000600 0x2BC90671 0x00003A66 28302
0x00000000 0x08000600 0x898897DE 0x0000A8F4 25806
0x00000000 0x08000600 0xAA1F1F57 0x00010DC2 85328
0x00000000 0x08000600 0xC973B411 0x00025B12 22102
0x00000000 0x08000600 0xC9930681 0x0002B168 9428
0x00000000 0x08000600 0xE9923283 0x0002D63C 7024
0x00000000 0x08000600 0xE99237FF 0x0002F1AC 8388
0x00000000 0x08000600 0xE9949936 0x00031270 5294
0x00000000 0x96A006B0 0x09923283 0x0003271E 6905
0x00000000 0x96A006B0 0x0A5FA5D6 0x00034217 12296
0x00000000 0x96A006B0 0x0B72F276 0x0003721F 107208
0x00000000 0x96A006B0 0x0BEC56C1 0x000514E7 18709
0x00000000 0x96A006B0 0x0BEC56C2 0x00055DFC 18712
0x00000000 0x96A006B0 0x0C05BCF0 0x0005A714 14388
0x00000000 0x96A006B0 0x0C0734E6 0x0005DF48 14389
0x00000000 0x96A006B0 0x0C15687F 0x0006177D 13727
0x00000000 0x96A006B0 0x0C156CDD 0x00064D1C 13727
0x00000000 0x96A006B0 0x2A2AED99 0x000682BB 7932
0x00000000 0x96A006B0 0x2BC9060F 0x0006A1B7 110263
0x00000000 0x96A006B0 0x2BC90671 0x0008506E 25776
0x00000000 0x96A006B0 0x2BF1D6C0 0x0008B51E 14388
0x00000000 0x96A006B0 0x2BF1D8CE 0x0008ED52 14388
0x00000000 0x96A006B0 0x2C0706F8 0x00092586 14242
0x00000000 0x96A006B0 0x49889894 0x00095D28 8625
0x00000000 0x96A006B0 0x4992F764 0x00097ED9 4988
0x00000000 0x96A006B0 0x4A160034 0x00099255 34982
0x00000000 0x96A006B0 0x4BC906B5 0x000A1AFB 16219
0x00000000 0x96A006B0 0x4BCBB842 0x000A5A56 14242
0x00000000 0x96A006B0 0x4C05BD49 0x000A91F8 16373
0x00000000 0x96A006B0 0x4C156847 0x000AD1ED 13727
0x00000000 0x96A006B0 0x4C3BD022 0x000B078C 14389
0x00000000 0x96A006B0 0x69E3D347 0x000B3FC1 6293
0x00000000 0x96A006B0 0x6BB27447 0x000B5856 5146
0x00000000 0x96A006B0 0x6BC61F19 0x000B6C70 19098
0x00000000 0x96A006B0 0x6BC9065A 0x000BB70A 30551
0x00000000 0x96A006B0 0x6BE9FF14 0x000C2E61 14242
0x00000000 0x96A006B0 0x6BE9FF15 0x000C6603 14242
0x00000000 0x96A006B0 0x6BE9FF16 0x000C9DA5 14242
0x00000000 0x96A006B0 0x6C07071F 0x000CD547 14242
0x00000000 0x96A006B0 0x6C44F858 0x000D0CE9 14388
0x00000000 0x96A006B0 0x898897DE 0x000D451D 26878
0x00000000 0x96A006B0 0x899302FC 0x000DAE1B 7652
0x00000000 0x96A006B0 0x8BF1D5B5 0x000DCBFF 14388
0x00000000 0x96A006B0 0x8C0EAA1B 0x000E0433 13145
0x00000000 0x96A006B0 0x8C0EADCE 0x000E378C 15858
0x00000000 0x96A006B0 0x8C1A5C9F 0x000E757E 1527
0x00000000 0x96A006B0 0xA991ED83 0x000E7B75 6680
0x00000000 0x96A006B0 0xAA1F1F57 0x000E958D 85336
0x00000000 0x96A006B0 0xAA356502 0x000FE2E5 4787
0x00000000 0x96A006B0 0xAA3ACDFE 0x000FF598 136844
0x00000000 0x96A006B0 0xAA53E3EA 0x00120C24 5375
0x00000000 0x96A006B0 0xAA920991 0x00122123 32972
0x00000000 0x96A006B0 0xAAA44448 0x0012A1EF 5409
0x00000000 0x96A006B0 0xABB0120F 0x0012B710 23774
0x00000000 0x96A006B0 0xABC0ED33 0x001313EE 7560
0x00000000 0x96A006B0 0xABCB937D 0x00133176 14388
0x00000000 0x96A006B0 0xABE8D4F1 0x001369AA 14389
0x00000000 0x96A006B0 0xABE8D4F2 0x0013A1DF 14388
0x00000000 0x96A006B0 0xABE8D4F3 0x0013DA13 14890
0x00000000 0x96A006B0 0xABE8D4F4 0x0014143D 14388
0x00000000 0x96A006B0 0xABE8D4F5 0x00144C71 14388
0x00000000 0x96A006B0 0xABE8D4F6 0x001484A5 14388
0x00000000 0x96A006B0 0xAC156804 0x0014BCD9 13727
0x00000000 0x96A006B0 0xC973B411 0x0014F278 22109
0x00000000 0x96A006B0 0xC9930681 0x001548D5 9428
0x00000000 0x96A006B0 0xCB95403E 0x00156DA9 6051
0x00000000 0x96A006B0 0xCBC3C2B9 0x0015854C 148130
0x00000000 0x96A006B0 0xCBC905CD 0x0017C7EE 34976
0x00000000 0x96A006B0 0xCBF1DB54 0x0018508E 9555
0x00000000 0x96A006B0 0xCBF1DB55 0x001875E1 9555
0x00000000 0x96A006B0 0xCBF1DB56 0x00189B34 9555
0x00000000 0x96A006B0 0xCC070735 0x0018C087 16373
0x00000000 0x96A006B0 0xCC0C43F8 0x0019007C 14242
0x00000000 0x96A006B0 0xCC156762 0x0019381E 13727
0x00000000 0x96A006B0 0xCC156828 0x00196DBD 13727
0x00000000 0x96A006B0 0xCC1BDF3E 0x0019A35C 9555
0x00000000 0x96A006B0 0xE9923283 0x0019C8AF 7025
0x00000000 0x96A006B0 0xE99237FF 0x0019E420 8388
0x00000000 0x96A006B0 0xE9949936 0x001A04E4 5295
0x00000000 0x96A006B0 0xEA287193 0x001A1993 95985
0x00000000 0x96A006B0 0xEA2871AA 0x001B9084 47172
0x00000000 0x96A006B0 0xEBE990DC 0x001C48C8 14388
0x00000000 0x96A006B0 0xEC05BCCF 0x001C80FC 14388
0x00000000 0x96A006B0 0xEC07070B 0x001CB930 14242
0x00000000 0x96A006B0 0xEC072A41 0x001CF0D2 13727
0x00000000 0x96A006B0 0xEC156864 0x001D2671 13727
0x00000000 0x96A006B0 0xEC156CFC 0x001D5C10 13727
0x856DDBAC 0x1ABE787D 0x13D14CA3 0x001D91AF 388
0x856DDBAC 0x1ABE787D 0x14416242 0x001D9333 131
0x856DDBAC 0x1ABE787D 0x47026241 0x001D93B6 3465
0x856DDBAC 0x1ABE787D 0x6C29491F 0x001DA13F 3750
0x856DDBAC 0x46A006B0 0x094AC89A 0x001DAFE5 871
0x856DDBAC 0x46A006B0 0x0B8C660F 0x001DB34C 272
0x856DDBAC 0x46A006B0 0x0BBA7A64 0x001DB45C 9421
0x856DDBAC 0x46A006B0 0x0BC6638A 0x001DD929 1601
0x856DDBAC 0x46A006B0 0x0BEB3DBF 0x001DDF6A 27497
0x856DDBAC 0x46A006B0 0x0C0729AA 0x001E4AD3 841521
0x856DDBAC 0x46A006B0 0x0C0729AB 0x002B2204 2079
